term,estimate,std.error,conf.low,conf.high,year,spec
rel_year::3:texas_treated,0.0119295267944454,0.00429300726194581,0.00287207319744055,0.0209869803914502,3,reform_pooled
rel_year::4:texas_treated,0.0142099141799861,0.00407444337470376,0.00561359007703634,0.0228062382829358,4,reform_pooled
rel_year::5:texas_treated,0.0159422502144829,0.0043919293142957,0.00667608933043903,0.0252084110985267,5,reform_pooled
rel_year::6:texas_treated,0.0108341189139488,0.00423290522125274,0.00190346953865781,0.0197647682892398,6,reform_pooled
rel_year::7:texas_treated,0.0089456011899923,0.00444825619504738,-0.00043939902451222,0.0183306014044968,7,reform_pooled
rel_year::8:texas_treated,0.0097526028854909,0.00458564330327422,0.0000777412098559287,0.0194274645611259,8,reform_pooled
rel_year::9:texas_treated,0.0198572465190163,0.00532475350216177,0.00862299863203293,0.0310914944059998,9,reform_pooled
rel_year::10:texas_treated,0.0129981169473727,0.00491239297266772,0.00263387372919945,0.023362360165546,10,reform_pooled
rel_year::11:texas_treated,0.0108223485302248,0.00488324480237686,0.000519602575796533,0.0211250944846531,11,reform_pooled
rel_year::12:texas_treated,0.0128561183812363,0.0046990197846952,0.00294205323893946,0.0227701835235332,12,reform_pooled
rel_year::13:texas_treated,0.0108867051014374,0.00503060594800619,0.000273054306393008,0.0215003558964818,13,reform_pooled
rel_year::14:texas_treated,0.010418530784528,0.00551570692825629,-0.0012185936154703,0.0220556551845263,14,reform_pooled
rel_year::15:texas_treated,0.0116825122484052,0.00606801445810494,-0.00111987918182236,0.0244849036786328,15,reform_pooled
rel_year::16:texas_treated,0.016563584909087,0.00589939231142731,0.00411695511068761,0.0290102147074865,16,reform_pooled
rel_year::17:texas_treated,0.0159415110879127,0.0061191417459406,0.00303125050935711,0.0288517716664684,17,reform_pooled
rel_year::18:texas_treated,0.019381887696185,0.00604709134980951,0.00662364016577584,0.0321401352265942,18,reform_pooled
rel_year::19:texas_treated,0.0198966898912669,0.00685652494357222,0.00543068675551557,0.0343626930270183,19,reform_pooled
rel_year::20:texas_treated,0.0259265840473935,0.00586619801722093,0.0135499880880059,0.0383031800067811,20,reform_pooled
rel_year::21:texas_treated,0.0335874853731268,0.00534601990644545,0.0223083692951012,0.0448666014511524,21,reform_pooled
rel_year::22:texas_treated,0.0324258184282949,0.00442761309084964,0.0230843713566016,0.0417672654999881,22,reform_pooled
