mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Double-Walled,Diesel-Only,Under-1k,1989-1991,Texas,161,358115,0.000449576253438141
Double-Walled,Diesel-Only,Under-1k,1989-1991,Control States,6169,5721325,0.00107824673480356
Double-Walled,Diesel-Only,Under-1k,1992-1994,Texas,57,358115,0.00015916674811164
Double-Walled,Diesel-Only,Under-1k,1992-1994,Control States,4720,5721325,0.000824983723176013
Double-Walled,Diesel-Only,Under-1k,1995-1997,Texas,9,358115,0.0000251315918071011
Double-Walled,Diesel-Only,Under-1k,1995-1997,Control States,3365,5721325,0.000588150472137136
Double-Walled,Gasoline-Only,12k-25k,1989-1991,Texas,5935,358115,0.0165728885972383
Double-Walled,Gasoline-Only,12k-25k,1989-1991,Control States,98503,5721325,0.0172168160347472
Double-Walled,Gasoline-Only,12k-25k,1992-1994,Texas,6115,358115,0.0170755204333803
Double-Walled,Gasoline-Only,12k-25k,1992-1994,Control States,86676,5721325,0.0151496375402551
Double-Walled,Gasoline-Only,12k-25k,1995-1997,Texas,14713,358115,0.0410845678064309
Double-Walled,Gasoline-Only,12k-25k,1995-1997,Control States,125728,5721325,0.0219753291414139
Double-Walled,Gasoline-Only,1k-5k,1989-1991,Texas,1122,358115,0.0031330717786186
Double-Walled,Gasoline-Only,1k-5k,1989-1991,Control States,39719,5721325,0.00694227298746357
Double-Walled,Gasoline-Only,1k-5k,1992-1994,Texas,457,358115,0.0012761263839828
Double-Walled,Gasoline-Only,1k-5k,1992-1994,Control States,28048,5721325,0.00490236090416119
Double-Walled,Gasoline-Only,1k-5k,1995-1997,Texas,293,358115,0.000818172933275624
Double-Walled,Gasoline-Only,1k-5k,1995-1997,Control States,20680,5721325,0.00361454732950846
Double-Walled,Gasoline-Only,25k-Plus,1989-1991,Texas,0,,0
Double-Walled,Gasoline-Only,25k-Plus,1989-1991,Control States,614,5721325,0.000107317797887727
Double-Walled,Gasoline-Only,25k-Plus,1992-1994,Texas,135,358115,0.000376973877106516
Double-Walled,Gasoline-Only,25k-Plus,1992-1994,Control States,592,5721325,0.000103472534771229
Double-Walled,Gasoline-Only,25k-Plus,1995-1997,Texas,74,358115,0.000206637532636164
Double-Walled,Gasoline-Only,25k-Plus,1995-1997,Control States,924,5721325,0.000161501050892931
Double-Walled,Gasoline-Only,5k-12k,1989-1991,Texas,11329,358115,0.0316350892869609
Double-Walled,Gasoline-Only,5k-12k,1989-1991,Control States,211475,5721325,0.0369625917073405
Double-Walled,Gasoline-Only,5k-12k,1992-1994,Texas,5231,358115,0.0146070396381051
Double-Walled,Gasoline-Only,5k-12k,1992-1994,Control States,129096,5721325,0.0225640039676124
Double-Walled,Gasoline-Only,5k-12k,1995-1997,Texas,5694,358115,0.0158999204166259
Double-Walled,Gasoline-Only,5k-12k,1995-1997,Control States,119499,5721325,0.0208865953253835
Double-Walled,Gasoline-Only,Under-1k,1989-1991,Texas,173,358115,0.000483085042514276
Double-Walled,Gasoline-Only,Under-1k,1989-1991,Control States,4189,5721325,0.000732173054318711
Double-Walled,Gasoline-Only,Under-1k,1992-1994,Texas,20,358115,0.0000558479817935579
Double-Walled,Gasoline-Only,Under-1k,1992-1994,Control States,2141,5721325,0.000374214015110136
Double-Walled,Gasoline-Only,Under-1k,1995-1997,Texas,0,,0
Double-Walled,Gasoline-Only,Under-1k,1995-1997,Control States,1528,5721325,0.000267071001909523
Double-Walled,Motor-Fuel-Mixed,12k-25k,1989-1991,Texas,90,358115,0.000251315918071011
Double-Walled,Motor-Fuel-Mixed,12k-25k,1989-1991,Control States,1220,5721325,0.000213237318278546
Double-Walled,Motor-Fuel-Mixed,12k-25k,1992-1994,Texas,1099,358115,0.00306884659955601
Double-Walled,Motor-Fuel-Mixed,12k-25k,1992-1994,Control States,3447,5721325,0.000602482816480448
Double-Walled,Motor-Fuel-Mixed,12k-25k,1995-1997,Texas,2105,358115,0.00587800008377197
Double-Walled,Motor-Fuel-Mixed,12k-25k,1995-1997,Control States,4707,5721325,0.000822711522243536
Double-Walled,Motor-Fuel-Mixed,1k-5k,1989-1991,Texas,8,358115,0.0000223391927174232
Double-Walled,Motor-Fuel-Mixed,1k-5k,1989-1991,Control States,452,5721325,0.00007900267857533
