facility_id,state
103565,Idaho
103566,Kansas
103567,South Dakota
103578,Alabama
103579,Minnesota
10358,Connecticut
103583,North Carolina
103593,Illinois
103594,Massachusetts
103595,Ohio
103599,Pennsylvania
103600,Tennessee
103603,Virginia
103606,New Jersey
103612,Michigan
103613,Arkansas
103614,Texas
103621,Oklahoma
103624,Louisiana
103626,New Mexico
103665,Maine
103667,Montana
103669,Idaho
103670,Kansas
103679,South Dakota
103686,Alabama
103698,Minnesota
103704,Connecticut
103706,North Carolina
103707,Illinois
103722,Massachusetts
103723,Ohio
103725,Pennsylvania
103726,Tennessee
103733,Virginia
103735,New Jersey
103747,Michigan
103748,Arkansas
103757,Texas
103760,Oklahoma
103761,Louisiana
103763,New Mexico
103766,Maine
103779,Montana
103783,Idaho
103788,Kansas
103790,South Dakota
103791,Alabama
103792,Minnesota
103797,Connecticut
103800,North Carolina
103801,Illinois
103818,Massachusetts
103822,Ohio
103826,Pennsylvania
10383,Tennessee
103843,Virginia
103851,New Jersey
103859,Michigan
103870,Arkansas
103882,Texas
103895,Oklahoma
103899,Louisiana
103901,New Mexico
103902,Maine
103903,Montana
103904,Idaho
103905,Kansas
103912,South Dakota
103915,Alabama
103920,Minnesota
103925,Connecticut
103927,North Carolina
103930,Illinois
103931,Massachusetts
103932,Ohio
103938,Pennsylvania
103946,Tennessee
103951,Virginia
103957,New Jersey
103959,Michigan
103960,Arkansas
103962,Texas
103963,Oklahoma
103968,Louisiana
103969,New Mexico
103975,Maine
