rel_year,est,se,ci_lo,ci_hi,margin,period
-7,-0.00106671360310244,0.000385036032721805,-0.00182138422723718,-0.000312042978967702,reconfigure_up,pre
-6,-0.000657799131431669,0.000215783296656242,-0.0010807343928779,-0.000234863869985435,reconfigure_up,pre
-5,-0.00067547838542153,0.000196949503278294,-0.00106149941184699,-0.000289457358996073,reconfigure_up,pre
-4,-0.000137679051190891,0.000431964533045919,-0.000984329535960892,0.00070897143357911,reconfigure_up,pre
-3,0.00040065259268369,0.000368403279053467,-0.000321417834261106,0.00112272301962849,reconfigure_up,pre
-2,0.000943968317647682,0.000317881152338817,0.000320921259063601,0.00156701537623176,reconfigure_up,pre
-1,0,0,0,0,reconfigure_up,pre
0,-0.000899121002111001,0.000426985259230196,-0.00173601211020219,-6.2229894019816e-05,reconfigure_up,event
1,0.00127160636311126,0.000428406126329513,0.000431930355505412,0.0021112823707171,reconfigure_up,post
2,0.000477167549112412,0.000397146375585898,-0.000301239347035948,0.00125557444526077,reconfigure_up,post
3,0.000484223155342161,0.000376444712469192,-0.000253608481097455,0.00122205479178178,reconfigure_up,post
4,-0.000203756285519973,0.00035879692967328,-0.000906998267679601,0.000499485696639656,reconfigure_up,post
5,0.000143809260493816,0.00037601076681245,-0.000593171842458587,0.000880790363446218,reconfigure_up,post
6,0.00026861232759318,0.000362781049071625,-0.000442438528587205,0.000979663183773565,reconfigure_up,post
7,0.00106187381869938,0.000328563647809496,0.00041788906899277,0.00170585856840599,reconfigure_up,post
8,0.000394293712813002,0.000379000249288823,-0.000348546775793092,0.0011371342014191,reconfigure_up,post
9,0.00131512139147848,0.000382192813457474,0.000566023477101833,0.00206421930585513,reconfigure_up,post
10,0.000935609034672595,0.00036842029580792,0.000213505254889073,0.00165771281445612,reconfigure_up,post
11,0.000430910169581797,0.000360800587832774,-0.000276258982570441,0.00113807932173403,reconfigure_up,post
12,0.000623231583427688,0.000360557870722887,-8.34618431891699e-05,0.00132992501004455,reconfigure_up,post
13,0.000562892806729856,0.000354943928158301,-0.000132797292460413,0.00125858290592013,reconfigure_up,post
14,0.00204174931202494,0.000346705281670972,0.00136220695994983,0.00272129166410005,reconfigure_up,post
15,0.0016552761972459,0.000401532050396616,0.000868273378468528,0.00244227901602326,reconfigure_up,post
16,0.00156687551821927,0.000369100654244305,0.000843438235900429,0.00229031280053811,reconfigure_up,post
17,0.00158403034956203,0.000422452787370897,0.000756022886315068,0.00241203781280899,reconfigure_up,post
18,0.00124567036445674,0.000428333037507222,0.000406137610942581,0.00208520311797089,reconfigure_up,post
19,0.00169826531060523,0.000561991047019052,0.000596762858447893,0.00279976776276258,reconfigure_up,post
20,0.00220992411918358,0.000370841683411575,0.0014830744196969,0.00293677381867027,reconfigure_up,post
21,0.00260559219052998,0.000388637605469101,0.00184386248381054,0.00336732189724942,reconfigure_up,post
22,0.00225875791460819,0.000374061280828801,0.00152559780418374,0.00299191802503264,reconfigure_up,post
