panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
KS12786_KS,1,1,0,0,0,0,0,0
KS13810_KS,1,1,0,0,0,0,0,0
KS25092_KS,1,1,0,0,0,0,0,0
KS25251_KS,2,2,0,2,2,0,1,0
KS26135_KS,1,1,0,1,1,0,1,0
KS26565_KS,2,2,0,0,0,0,0,0
KS29355_KS,3,3,0,0,0,0,0,0
KS29378_KS,1,1,0,0,0,0,0,0
KS29602_KS,3,3,0,0,0,0,0,0
KS29743_KS,3,3,0,0,0,0,0,0
KS29847_KS,3,3,0,0,0,0,0,0
KS29893_KS,2,2,0,0,0,0,0,0
KS29966_KS,5,5,0,0,0,0,0,0
KS26275_KS,2,2,0,0,0,0,0,0
KS28930_KS,1,1,0,0,0,0,0,0
KS05383_KS,4,4,0,0,0,0,0,0
KS06173_KS,1,1,0,0,0,0,0,0
KS06258_KS,1,1,0,0,0,0,0,0
KS06341_KS,2,2,0,2,2,0,1,0
KS06728_KS,3,3,0,0,0,0,0,0
KS12215_KS,4,4,0,0,0,0,0,0
KS12847_KS,1,1,0,0,0,0,0,0
KS17115_KS,3,3,0,0,0,0,0,0
KS25226_KS,5,5,0,5,5,0,1,0
KS25793_KS,2,2,0,0,0,0,0,0
KS27053_KS,1,1,0,0,0,0,0,0
KS29941_KS,2,2,0,0,0,0,0,0
KS29963_KS,2,2,0,2,2,0,1,0
KS29996_KS,2,2,0,0,0,0,0,0
KS30021_KS,2,2,0,0,0,0,0,0
KS02114_KS,2,2,0,2,2,0,1,0
KS07867_KS,2,2,0,1,1,0,1,0
KS09014_KS,2,2,0,0,0,0,0,0
KS26671_KS,1,1,0,1,1,0,1,0
KS28525_KS,4,4,0,0,0,0,0,0
KS03173_KS,4,4,0,4,4,0,1,0
KS04421_KS,2,2,0,2,2,0,1,0
KS06779_KS,2,2,0,2,2,0,1,0
KS15560_KS,4,4,0,0,0,0,0,0
KS27055_KS,1,1,0,0,0,0,0,0
KS28538_KS,1,1,0,1,1,0,1,0
KS29196_KS,4,4,0,4,4,0,1,0
KS29248_KS,2,2,0,0,0,0,0,0
KS29581_KS,1,1,0,0,0,0,0,0
KS29981_KS,2,2,0,2,2,0,1,0
KS01658_KS,3,3,0,0,0,0,0,0
