make_model_tank,n_tx,n_ctl,n_total,has_both
Unknown-Wall_Diesel-Only_Under-1k_1997,0,40,40,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1994,17,22,39,1
Single-Walled_Motor-Fuel-Mixed_5k-12k_1992,21,17,38,1
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1991,0,38,38,0
Unknown-Wall_Gasoline-Only_25k-Plus_1989,0,37,37,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1997,4,32,36,1
Unknown-Wall_Diesel-Only_Under-1k_1996,0,36,36,0
Single-Walled_Motor-Fuel-Mixed_12k-25k_1991,11,24,35,1
Double-Walled_Diesel-Only_25k-Plus_1997,0,35,35,0
Double-Walled_Gasoline-Only_Under-1k_1993,0,35,35,0
Double-Walled_Gasoline-Only_Under-1k_1992,1,34,35,1
Double-Walled_Motor-Fuel-Mixed_5k-12k_1994,3,31,34,1
Single-Walled_Motor-Fuel-Mixed_5k-12k_1993,20,14,34,1
Double-Walled_Diesel-Only_25k-Plus_1995,1,32,33,1
Unknown-Wall_Gasoline-Only_25k-Plus_1992,0,33,33,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1991,10,21,31,1
Double-Walled_Other-Fuel_25k-Plus_1992,3,28,31,1
Double-Walled_Gasoline-Only_25k-Plus_1997,1,29,30,1
Double-Walled_Diesel-Only_25k-Plus_1992,0,29,29,0
Double-Walled_Gasoline-Only_Under-1k_1996,0,29,29,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1991,3,25,28,1
Double-Walled_Motor-Fuel-Mixed_5k-12k_1991,0,28,28,0
Double-Walled_Other-Fuel_25k-Plus_1994,0,28,28,0
Unknown-Wall_Gasoline-Only_Under-1k_1993,0,28,28,0
Unknown-Wall_Other-Fuel_25k-Plus_1991,0,28,28,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1993,6,21,27,1
Single-Walled_Motor-Fuel-Mixed_12k-25k_1990,4,23,27,1
Double-Walled_Motor-Fuel-Mixed_5k-12k_1995,6,21,27,1
Double-Walled_Other-Fuel_25k-Plus_1996,1,26,27,1
Double-Walled_Other-Fuel_25k-Plus_1990,0,27,27,0
Double-Walled_Diesel-Only_25k-Plus_1996,0,27,27,0
Double-Walled_Diesel-Only_25k-Plus_1994,4,23,27,1
Double-Walled_Gasoline-Only_Under-1k_1994,1,25,26,1
Double-Walled_Gasoline-Only_Under-1k_1997,0,26,26,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1989,1,24,25,1
Double-Walled_Other-Fuel_25k-Plus_1997,0,24,24,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1990,1,23,24,1
Unknown-Wall_Gasoline-Only_25k-Plus_1994,0,24,24,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1992,2,21,23,1
Unknown-Wall_Gasoline-Only_25k-Plus_1995,0,23,23,0
Single-Walled_Diesel-Only_25k-Plus_1996,4,18,22,1
Double-Walled_Diesel-Only_25k-Plus_1993,0,22,22,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1989,0,22,22,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1990,5,16,21,1
Single-Walled_Diesel-Only_25k-Plus_1990,0,21,21,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1992,0,21,21,0
Unknown-Wall_Diesel-Only_25k-Plus_1990,0,20,20,0
