panel_id,is_gas
ID2-350024_ID,1
ID2-350025_ID,1
ID2-350026_ID,0
ID2-350027_ID,0
ID2-350028_ID,1
ID2-350029_ID,1
ID2-350031_ID,1
ID2-350033_ID,0
ID2-350034_ID,1
ID2-350035_ID,1
ID2-350036_ID,1
ID2-350037_ID,1
ID2-350038_ID,1
ID2-350039_ID,0
ID2-350040_ID,1
ID2-350041_ID,0
ID2-350042_ID,0
ID2-350043_ID,1
ID2-350044_ID,1
ID2-350045_ID,0
ID2-350046_ID,1
ID2-350047_ID,1
ID2-350049_ID,1
ID2-350050_ID,1
ID2-350051_ID,1
ID2-350052_ID,1
ID2-350053_ID,1
ID2-350054_ID,1
ID2-350059_ID,0
ID2-350060_ID,1
ID2-350061_ID,1
ID2-350064_ID,1
ID2-350065_ID,1
ID2-350066_ID,1
ID2-350067_ID,1
ID2-350068_ID,1
ID2-350069_ID,1
ID2-350070_ID,1
ID2-350071_ID,1
ID2-350073_ID,1
ID2-350074_ID,0
ID2-350075_ID,1
ID2-350076_ID,0
ID2-350077_ID,0
ID2-350078_ID,1
ID2-350081_ID,1
ID2-350082_ID,1
ID2-350083_ID,1
ID2-350084_ID,0
ID2-350085_ID,0
ID2-350086_ID,1
ID2-350087_ID,1
ID2-350088_ID,0
ID2-350089_ID,1
ID2-350090_ID,0
ID2-350091_ID,1
ID2-350092_ID,1
ID2-350094_ID,1
ID2-350095_ID,0
ID2-350096_ID,0
ID2-350097_ID,1
ID2-350099_ID,1
ID2-350100_ID,1
ID2-350101_ID,1
ID2-350102_ID,1
ID2-350103_ID,1
ID2-350104_ID,1
ID2-350105_ID,1
ID2-350106_ID,1
ID2-350107_ID,0
ID2-350109_ID,1
ID2-350110_ID,1
ID2-350111_ID,1
ID2-350112_ID,0
ID2-350113_ID,1
ID2-350114_ID,0
ID2-350115_ID,1
ID2-350116_ID,0
ID2-350118_ID,1
ID2-350119_ID,1
ID2-350120_ID,1
ID2-350121_ID,1
ID2-350122_ID,1
ID2-350123_ID,0
ID2-350125_ID,1
ID2-350126_ID,1
ID2-350127_ID,1
ID2-350128_ID,0
ID2-350129_ID,1
ID2-350131_ID,1
ID2-350132_ID,1
ID2-350134_ID,0
ID2-350135_ID,1
ID2-350136_ID,0
ID2-350137_ID,1
ID2-350138_ID,1
ID2-350139_ID,1
ID2-350140_ID,1
ID2-350142_ID,1
ID2-350143_ID,1
ID2-350145_ID,0
ID2-350146_ID,1
ID2-350147_ID,1
ID2-350148_ID,1
ID2-350149_ID,1
ID2-350150_ID,1
ID2-350154_ID,1
ID2-350156_ID,0
ID2-350158_ID,0
ID2-350163_ID,1
ID2-350164_ID,1
ID2-350165_ID,1
ID2-350166_ID,1
ID2-350167_ID,0
ID2-350169_ID,1
ID2-350170_ID,1
ID2-350171_ID,1
ID2-350177_ID,1
ID2-350601_ID,1
ID2-350603_ID,1
ID2-350604_ID,1
ID2-350605_ID,0
ID2-350607_ID,0
ID2-350608_ID,1
ID2-350609_ID,1
ID2-350610_ID,0
ID2-350611_ID,1
ID2-350612_ID,1
ID2-350613_ID,0
ID2-350615_ID,0
ID2-350616_ID,0
ID2-350617_ID,1
ID2-350618_ID,0
ID2-350619_ID,1
ID2-350620_ID,0
ID2-350621_ID,1
ID2-350622_ID,1
ID2-350623_ID,0
ID2-350624_ID,0
ID2-350625_ID,1
ID2-350626_ID,1
ID2-350628_ID,1
ID2-350629_ID,0
ID2-350630_ID,0
ID2-350631_ID,1
ID2-350632_ID,0
ID2-350633_ID,1
ID2-350634_ID,1
ID2-350635_ID,1
ID2-350636_ID,1
ID2-350637_ID,1
ID2-350638_ID,0
ID2-350639_ID,1
ID2-350640_ID,1
ID2-350642_ID,0
ID2-350643_ID,1
ID2-350644_ID,1
ID3-010001_ID,0
ID3-010002_ID,1
ID3-010003_ID,1
ID3-010004_ID,0
ID3-010005_ID,1
ID3-010007_ID,0
ID3-010008_ID,1
ID3-010010_ID,1
ID3-010011_ID,0
ID3-010012_ID,1
ID3-010013_ID,0
ID3-010014_ID,1
ID3-010015_ID,1
ID3-010016_ID,1
ID3-010017_ID,1
ID3-010018_ID,1
ID3-010019_ID,0
ID3-010021_ID,1
ID3-010022_ID,1
ID3-010023_ID,0
ID3-010024_ID,1
ID3-010025_ID,0
ID3-010026_ID,1
ID3-010027_ID,1
ID3-010028_ID,1
ID3-010029_ID,0
ID3-010030_ID,0
ID3-010031_ID,1
ID3-010032_ID,0
ID3-010033_ID,0
ID3-010035_ID,1
ID3-010036_ID,1
ID3-010037_ID,1
